Name,Dealer,Mileage,Rating,Rating Count,Price,Stock Type
2017 Ford Escape Titanium,Monster Motors,73205 ,4.4,121 ,21683,Used
2018 Subaru Legacy Limited,EchoPark Automotive Centennial,30026 ,4.7,603 ,25899,Used
2020 Dodge Challenger SRT Hellcat,Rich Morton Mazda,10512 ,4.6,730 ,77272,Used
2019 Toyota Camry SE,Toyota of Plano,29444 ,4.8,"5,429 ",27051,Used
2017 Chevrolet Silverado 1500 LTZ,Wells Auto Group,52886 ,3.9,43 ,38999,Used
2017 Jaguar F-TYPE Premium,"Milan Motors, LLC",24196 ,4.0,59 ,43970,Used
2018 BMW 328d xDrive,BMW Portland,24349 ,4.8,"1,044 ",44999,Used
2019 Volvo XC90 T6 Momentum,Ourisman Volkswagen Volvo of Bethesda,32300 ,4.4,279 ,46991,Used
2016 Audi A8 L 3.0T,Autobahn USA,41470 ,4.8,"1,770 ",38800,Used
2020 Acura MDX 3.5L,Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,20134 ,4.8,820 ,43225,Used
2019 BMW X7 xDrive50i,Beck & Masten North,19611 ,4.6,"1,201 ",87979,Used
2018 Toyota RAV4 XLE,EchoPark Automotive Greenville Delivery Center,20138 ,4.4,19 ,27989,Used
2019 Jeep Cherokee Limited,Ken Garff West Valley Chrysler Jeep Dodge RAM,65407 ,4.1,580 ,30503,Jeep Certified
2012 Mercedes-Benz E-Class E 350,Best Price Car Dealer,84277 ,4.3,141 ,14499,Used
2009 Cadillac SRX V6,Best Buy Auto Sales,87721 ,3.8,43 ,10995,Used
2018 Jeep Grand Cherokee Limited,EchoPark Automotive Greenville Delivery Center,45460 ,4.4,19 ,34689,Used
2019 Mercedes-Benz C-Class C 300,Koons Kia Owings Mills,23817 ,4.6,147 ,43499,Used
2019 Tesla Model 3 Long Range,Lawrence Motorsport,14645 ,5.0,2 ,52991,Used
2013 Lexus LX 570 Base,Patrick Mini,86889 ,4.2,13 ,42748,Used
2017 Ford Escape Titanium,Monster Motors,73205 ,4.4,121 ,21683,Used
2018 Subaru Legacy Limited,EchoPark Automotive Centennial,30026 ,4.7,603 ,25899,Used
2020 Dodge Challenger SRT Hellcat,Rich Morton Mazda,10512 ,4.6,730 ,77272,Used
2019 Toyota Camry SE,Toyota of Plano,29444 ,4.8,"5,429 ",27051,Used
2017 Chevrolet Silverado 1500 LTZ,Wells Auto Group,52886 ,3.9,43 ,38999,Used
2017 Jaguar F-TYPE Premium,"Milan Motors, LLC",24196 ,4.0,59 ,43970,Used
2018 BMW 328d xDrive,BMW Portland,24349 ,4.8,"1,044 ",44999,Used
2019 Volvo XC90 T6 Momentum,Ourisman Volkswagen Volvo of Bethesda,32300 ,4.4,279 ,46991,Used
2016 Audi A8 L 3.0T,Autobahn USA,41470 ,4.8,"1,770 ",38800,Used
2020 Acura MDX 3.5L,Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,20134 ,4.8,820 ,43225,Used
2019 BMW X7 xDrive50i,Beck & Masten North,19611 ,4.6,"1,201 ",87979,Used
2018 Toyota RAV4 XLE,EchoPark Automotive Greenville Delivery Center,20138 ,4.4,19 ,27989,Used
2019 Jeep Cherokee Limited,Ken Garff West Valley Chrysler Jeep Dodge RAM,65407 ,4.1,580 ,30503,Jeep Certified
2012 Mercedes-Benz E-Class E 350,Best Price Car Dealer,84277 ,4.3,141 ,14499,Used
2009 Cadillac SRX V6,Best Buy Auto Sales,87721 ,3.8,43 ,10995,Used
2018 Jeep Grand Cherokee Limited,EchoPark Automotive Greenville Delivery Center,45460 ,4.4,19 ,34689,Used
2019 Mercedes-Benz C-Class C 300,Koons Kia Owings Mills,23817 ,4.6,147 ,43499,Used
2019 Tesla Model 3 Long Range,Lawrence Motorsport,14645 ,5.0,2 ,52991,Used
2013 Lexus LX 570 Base,Patrick Mini,86889 ,4.2,13 ,42748,Used
2018 Mazda Mazda3 Touring,EchoPark Automotive Dallas,49021 ,4.8,"4,203 ",21289,Used
2018 BMW 330 i,BMW of Fort Lauderdale,20185 ,4.8,75 ,34445,BMW Certified
2018 Mercedes-Benz AMG C 63 S,Lawrence Motorsport,12285 ,5.0,2 ,71991,Used
2015 BMW 328 i xDrive,gettacar,45318 ,4.6,217 ,26595,Used
2019 Ford Escape Titanium,Ricart Used Car Factory,23086 ,4.7,"5,312 ",28887,Used
